Protocol,Field name,Description,Type,Versions
TLS_1,tls.handshake.extensions_status_request_type,Certificate Status Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.extensions_supported_group,Supported Group,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.extensions_supported_groups,Supported Groups List,Label,3.0.0 to 4.2.2
TLS_1,tls.handshake.extensions_supported_groups_length,Supported Groups List Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.fragment,Handshake Fragment,Frame number,3.2.0 to 4.2.2
TLS_1,tls.handshake.fragment.count,Handshake Fragment count,Unsigned integer (32 bits),3.2.0 to 4.2.2
TLS_1,tls.handshake.fragments,Reassembled Handshake Fragments,Label,3.2.0 to 4.2.2
TLS_1,tls.handshake.g,g,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.g_len,g Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.hint,Hint,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.hint_len,Hint Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.identity,Identity,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.identity_len,Identity Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.ja3,JA3,Character string,3.6.0 to 4.2.2
TLS_1,tls.handshake.ja3_full,JA3 Fullstring,Character string,3.6.0 to 4.2.2
TLS_1,tls.handshake.ja3s,JA3S,Character string,3.6.0 to 4.2.2
TLS_1,tls.handshake.ja3s_full,JA3S Fullstring,Character string,3.6.0 to 4.2.2
TLS_1,tls.handshake.key_arg,Key Argument,Label,3.0.0 to 4.2.2
TLS_1,tls.handshake.key_arg_length,Key Argument Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.key_update.request_update,Key Update Request,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.length,Length,Unsigned integer (24 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.max_fragment_length,Maximum Fragment Length,Unsigned integer (8 bits),3.2.0 to 4.2.2
TLS_1,tls.handshake.md5_hash,MD5 Hash,Label,3.0.0 to 4.2.2
TLS_1,tls.handshake.modulus,Modulus,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.modulus_len,Modulus Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.npn_padding,Padding,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.npn_padding_len,Padding Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.npn_selected_protocol,Selected Protocol,Character string,3.0.0 to 4.2.2
TLS_1,tls.handshake.npn_selected_protocol_len,Selected Protocol Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.ocsp_response_len,OCSP Response Length,Unsigned integer (24 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.ocsp_response_list_len,OCSP Response List Length,Unsigned integer (24 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.p,p,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.p_len,p Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_1,tls.handshake.random,Random,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.random_bytes,Random Bytes,Byte sequence,3.0.0 to 4.2.2
TLS_1,tls.handshake.random_time,GMT Unix Time,Date and time,3.0.0 to 4.2.2
TLS_1,tls.handshake.rc,Schnorr signature,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.rc_len,Schnorr signature Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.reassembled_in,Reassembled Handshake Message in frame,Frame number,3.2.0 to 4.2.2
TLS_2,tls.handshake.rs,Schnorr signature,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.rs_len,Schnorr signature Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.server_curve_type,Curve Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.server_named_curve,Named Curve,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.server_point,Pubkey,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.server_point_len,Pubkey Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.session_id,Session ID,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.session_id_hit,Session ID Hit,Boolean,3.0.0 to 4.2.2
TLS_2,tls.handshake.session_id_length,Session ID Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.session_id_length.error,Session ID length error,Label,3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket,Session Ticket,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket_age_add,Session Ticket Age Add,Unsigned integer (32 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket_length,Session Ticket Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket_lifetime_hint,Session Ticket Lifetime Hint,Unsigned integer (32 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket_nonce,Session Ticket Nonce,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.session_ticket_nonce_length,Session Ticket Nonce Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.sha_hash,SHA-1 Hash,Label,3.0.0 to 4.2.2
TLS_2,tls.handshake.sig,Signature,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_hash_alg,Signature Algorithm,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_hash_alg_len,Signature Hash Algorithms Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_hash_algs,Signature Algorithms,Label,3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_hash_hash,Signature Hash Algorithm Hash,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_hash_sig,Signature Hash Algorithm Signature,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.sig_len,Signature Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.status_request.undecoded,"Responder ID list or Request Extensions are not implemented, contact Wireshark developers if you want this to be supported",Label,3.0.0 to 4.2.2
TLS_2,tls.handshake.type,Handshake Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.vc,Ephemeral Pubkey,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.vc_len,Ephemeral Pubkey Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.verify_data,Verify Data,Label,3.0.0 to 4.2.2
TLS_2,tls.handshake.version,Version,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.vs,Ephemeral Pubkey,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.vs_len,Ephemeral Pubkey Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.xc,Pubkey,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.xc_len,Pubkey Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.xs,Pubkey,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.handshake.xs_len,Pubkey Length,Unsigned integer (8 bits),3.4.0 to 4.2.2
TLS_2,tls.handshake.yc,Pubkey,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.yc_len,Pubkey Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.handshake.ys,Pubkey,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.handshake.ys_len,Pubkey Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message,Heartbeat Message,Label,3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message.padding,Payload Length,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message.payload,Payload Length,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message.payload_length,Payload Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message.payload_length.invalid,Invalid heartbeat payload length,Label,3.0.0 to 4.2.2
TLS_2,tls.heartbeat_message.type,Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.ignored_unknown_record,Ignored Unknown Record,Label,3.0.0 to 4.2.2
TLS_2,tls.malformed.buffer_too_small,"Malformed message, not enough data is available",Label,3.0.0 to 4.2.2
TLS_2,tls.malformed.trailing_data,Undecoded trailing data is present,Label,3.0.0 to 4.2.2
TLS_2,tls.malformed.vector_length,Variable vector length is outside the permitted range,Label,3.0.0 to 4.2.2
TLS_2,tls.quic.len,Parameters Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter,Parameter,Label,3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.ack_delay_exponent,ack_delay_exponent,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.active_connection_id_limit,Active Connection ID Limit,Unsigned integer (64 bits),3.2.0 to 4.2.2
TLS_2,tls.quic.parameter.cibir_encoding.length,length,Unsigned integer (64 bits),4.0.0 to 4.2.2
TLS_2,tls.quic.parameter.cibir_encoding.offset,offset,Unsigned integer (64 bits),4.0.0 to 4.2.2
TLS_2,tls.quic.parameter.enable_time_stamp_v2,Enable TimestampV2,Unsigned integer (64 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.facebook.partial_reliability,Facebook Partial Reliability,Unsigned integer (64 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.connection_options,Google Connection options,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.initial_rtt,Google Initial RTT,Unsigned integer (64 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.key_update_not_yet_supported,Google Key Update not yet supported,Label,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.quic_params,Google QUIC parameters,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.quic_params_unknown_field,Google Unknown Field,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.quic_version,Google QUIC version,Unsigned integer (32 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.support_handshake_done,Google Support Handshake Done,Label,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.google.supported_version,Google Supported Version,Unsigned integer (32 bits),3.6.0 to 4.2.2
TLS_2,tls.quic.parameter.google.supported_versions_length,Google Supported Versions Length,Unsigned integer (8 bits),3.6.0 to 4.2.2
TLS_2,tls.quic.parameter.google.user_agent,Google UserAgent,Character string,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_data,initial_max_data,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_stream_data_bidi_local,initial_max_stream_data_bidi_local,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_stream_data_bidi_remote,initial_max_stream_data_bidi_remote,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_stream_data_uni,initial_max_stream_data_uni,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_streams_bidi,initial_max_streams_bidi,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_max_streams_uni,initial_max_streams_uni,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.initial_source_connection_id,Initial Source Connection ID,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.lengt.old,Length,Unsigned integer (16 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.length,Length,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.loss_bits,loss_bits,Unsigned integer (64 bits),3.2.2 to 4.2.2
TLS_2,tls.quic.parameter.max_ack_delay,max_ack_delay,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.max_datagram_frame_size,max_datagram_frame_size,Unsigned integer (64 bits),3.2.0 to 4.2.2
TLS_2,tls.quic.parameter.max_idle_timeout,max_idle_timeout,Unsigned integer (64 bits),3.2.2 to 4.2.2
TLS_2,tls.quic.parameter.max_udp_payload_size,max_udp_payload_size,Unsigned integer (64 bits),3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.min_ack_delay,min_ack_delay,Unsigned integer (64 bits),3.2.2 to 4.2.2
TLS_2,tls.quic.parameter.original_destination_connection_id,original_destination_connection_id,Byte sequence,3.4.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.connectionid,connectionId,Byte sequence,3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.connectionid.length,Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.ipv4address,ipv4Address,IPv4 address,3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.ipv4port,ipv4Port,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.ipv6address,ipv6Address,IPv6 address,3.0.0 to 4.2.2
TLS_2,tls.quic.parameter.preferred_address.ipv6port,ipv6Port,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.quic.parameter.preferred_address.statelessresettoken,statelessResetToken,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.quic.parameter.retry_source_connection_id,Retry Source Connection ID,Byte sequence,3.4.0 to 4.2.2
TLS_3,tls.quic.parameter.stateless_reset_token,stateless_reset_token,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.quic.parameter.type,Type,Unsigned integer (64 bits),3.0.0 to 4.2.2
TLS_3,tls.quic.parameter.value,Value,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.quic.parameter.vi.chosen_version,Chosen Version,Unsigned integer (32 bits),4.0.0 to 4.2.2
TLS_3,tls.quic.parameter.vi.other_version,Other Version,Unsigned integer (32 bits),4.0.0 to 4.2.2
TLS_3,tls.reassembled.data,Reassembled PDU data,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.reassembled.length,Reassembled PDU length,Unsigned integer (32 bits),3.0.0 to 4.2.2
TLS_3,tls.reassembled_in,Reassembled PDU in frame,Frame number,3.0.0 to 4.2.2
TLS_3,tls.record,Record Layer,Label,3.0.0 to 4.2.2
TLS_3,tls.record.content_type,Content Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_3,tls.record.is_escape,Is Escape,Boolean,3.0.0 to 4.2.2
TLS_3,tls.record.length,Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.record.length.invalid,Record fragment length is too small or too large,Label,3.0.0 to 4.2.2
TLS_3,tls.record.opaque_type,Opaque Type,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_3,tls.record.padding_length,Padding Length,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_3,tls.record.version,Version,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.record_size_limit,Record Size Limit,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.resumed,This session reuses previously negotiated keys (Session resumption),Label,3.0.0 to 4.2.2
TLS_3,tls.sct.sct_extensions,Extensions,Label,3.0.0 to 4.2.2
TLS_3,tls.sct.sct_extensions_length,Extensions length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.sct.sct_length,Serialized SCT Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.sct.sct_logid,Log ID,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.sct.sct_signature,Signature,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.sct.sct_signature_length,Signature Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.sct.sct_timestamp,Timestamp,Date and time,3.0.0 to 4.2.2
TLS_3,tls.sct.sct_version,SCT Version,Unsigned integer (8 bits),3.0.0 to 4.2.2
TLS_3,tls.sct.scts_length,Serialized SCT List Length,Unsigned integer (16 bits),3.0.0 to 4.2.2
TLS_3,tls.segment,TLS segment,Frame number,3.0.0 to 4.2.2
TLS_3,tls.segment.count,Segment count,Unsigned integer (32 bits),3.0.0 to 4.2.2
TLS_3,tls.segment.data,TLS segment data,Byte sequence,3.0.0 to 4.2.2
TLS_3,tls.segment.error,Reassembling error,Frame number,3.0.0 to 4.2.2
TLS_3,tls.segment.multipletails,Multiple tail segments found,Boolean,3.0.0 to 4.2.2
TLS_3,tls.segment.overlap,Segment overlap,Boolean,3.0.0 to 4.2.2
TLS_3,tls.segment.overlap.conflict,Conflicting data in segment overlap,Boolean,3.0.0 to 4.2.2
TLS_3,tls.segment.toolongfragment,Segment too long,Boolean,3.0.0 to 4.2.2
TLS_3,tls.segments,Reassembled TLS segments,Label,3.0.0 to 4.2.2
TLS_3,tls.unexpected_message,Unexpected message,Label,3.0.0 to 4.2.2
DNS,dns.a,Address,IPv4 address,1.12.0 to 4.2.2
DNS,dns.a6.address_suffix,Address Suffix,IPv6 address,1.12.0 to 4.2.2
DNS,dns.a6.prefix_len,Prefix len,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.a6.prefix_name,Prefix name,Character string,1.12.0 to 4.2.2
DNS,dns.aaaa,AAAA Address,IPv6 address,1.12.0 to 4.2.2
DNS,dns.afsdb.hostname,Hostname,Character string,1.12.0 to 4.2.2
DNS,dns.afsdb.subtype,Subtype,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.apl.address_family,Address Family,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.apl.afdlength,Address Length,Unsigned integer (8 bits),1.4.0 to 4.2.2
DNS,dns.apl.afdpart.data,Address,Byte sequence,1.12.0 to 4.2.2
DNS,dns.apl.afdpart.ipv4,Address,IPv4 address,1.12.0 to 4.2.2
DNS,dns.apl.afdpart.ipv6,Address,IPv6 address,1.12.0 to 4.2.2
DNS,dns.apl.coded_prefix,Prefix Length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.apl.negation,Negation Flag,Boolean,1.4.0 to 4.2.2
DNS,dns.caa.flags,CAA Flags,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.caa.flags.issuer_critical,Issuer Critical,Boolean,1.12.0 to 4.2.2
DNS,dns.caa.iodef,Report URL,Character string,1.12.0 to 4.2.2
DNS,dns.caa.issue,Issue,Character string,1.12.0 to 4.2.2
DNS,dns.caa.issuewild,Issue Wildcard,Character string,1.12.0 to 4.2.2
DNS,dns.caa.tag,Tag,Character string,1.12.0 to 4.2.2
DNS,dns.caa.tag_length,Tag length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.caa.unknown,Unknown tag,Character string,1.12.0 to 4.2.2
DNS,dns.caa.value,Value,Character string,1.12.0 to 4.2.2
DNS,dns.cert.algorithm,Algorithm,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.cert.certificate,Certificate (or CRL),Byte sequence,1.12.0 to 4.2.2
DNS,dns.cert.key_tag,Key Tag,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.cert.type,Type,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.cname,CNAME,Character string,1.12.0 to 4.2.2
DNS,dns.count.add_rr,Additional RRs,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.answers,Answer RRs,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.auth_rr,Authority RRs,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.labels,Label Count,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.count.prerequisites,Prerequisites,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.queries,Questions,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.updates,Updates,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.count.zones,Zones,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.csync.flags,Flags,Unsigned integer (16 bits),2.0.0 to 4.2.2
DNS,dns.csync.flags.immediate,immediate,Boolean,2.0.0 to 4.2.2
DNS,dns.csync.flags.soaminimum,soaminimum,Boolean,2.0.0 to 4.2.2
DNS,dns.csync.soa,SOA,Unsigned integer (32 bits),2.0.0 to 4.2.2
DNS,dns.csync.type_bitmap,Type Bitmap,Byte sequence,2.0.0 to 4.2.2
DNS,dns.data,Data,Byte sequence,1.12.0 to 4.2.2
DNS,dns.depr.opc,Deprecated opcode,Label,1.12.0 to 4.2.2
DNS,dns.dhcid.rdata,DHCID Data,Byte sequence,1.4.0 to 4.2.2
DNS,dns.dname,Dname,Character string,1.12.0 to 4.2.2
DNS,dns.dnskey.algorithm,Algorithm,Unsigned integer (8 bits),1.10.0 to 4.2.2
DNS,dns.dnskey.flags,Flags,Unsigned integer (16 bits),1.10.0 to 4.2.2
DNS,dns.dnskey.flags.key_revoked,Key Revoked,Boolean,1.10.0 to 4.2.2
DNS,dns.dnskey.flags.reserved,Key Signing Key,Unsigned integer (16 bits),1.10.0 to 4.2.2
DNS,dns.dnskey.flags.secure_entry_point,Key Signing Key,Boolean,1.10.0 to 4.2.2
DNS,dns.dnskey.flags.zone_key,Zone Key,Boolean,1.10.0 to 4.2.2
DNS,dns.dnskey.key_id,Key id,Unsigned integer (16 bits),1.10.0 to 4.2.2
DNS,dns.dnskey.protocol,Protocol,Unsigned integer (8 bits),1.10.0 to 4.2.2
DNS,dns.dnskey.public_key,Public Key,Byte sequence,1.10.0 to 4.2.2
DNS,dns.ds.algorithm,Algorithm,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.ds.digest,Digest,Byte sequence,1.12.0 to 4.2.2
DNS,dns.ds.digest_type,Digest Type,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.ds.key_id,Key id,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.dso,DNS Stateful Operation,Label,3.4.0 to 4.2.2
DNS,dns.dso.tlv,DSO TLV,Label,3.4.0 to 4.2.2
DNS,dns.dso.tlv.data,Data,Byte sequence,3.4.0 to 4.2.2
DNS,dns.dso.tlv.encpad.padding,Padding,Byte sequence,3.4.0 to 4.2.2
DNS,dns.dso.tlv.keepalive.inactivity,Inactivity Timeout,Unsigned integer (32 bits),3.4.0 to 4.2.2
DNS,dns.dso.tlv.keepalive.interval,Keepalive Interval,Unsigned integer (32 bits),3.4.0 to 4.2.2
DNS,dns.dso.tlv.length,Length,Unsigned integer (16 bits),3.4.0 to 4.2.2
DNS,dns.dso.tlv.retrydelay.retrydelay,Retry Delay,Unsigned integer (32 bits),3.4.0 to 4.2.2
DNS,dns.dso.tlv.type,Type,Unsigned integer (16 bits),3.4.0 to 4.2.2
DNS,dns.eui48,EUI48 Address,Ethernet or other MAC address,1.12.0 to 4.2.2
DNS,dns.eui64,EUI64 Address,EUI64 address,1.12.3 to 4.2.2
DNS,dns.extraneous,Extraneous data,Label,4.0.0 to 4.2.2
DNS,dns.extraneous.data,Extraneous Data Bytes,Byte sequence,4.0.0 to 4.2.2
DNS,dns.extraneous.length,Extraneous Data Length,Signed integer (32 bits),4.0.0 to 4.2.2
DNS,dns.flags,Flags,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.flags.authenticated,Answer authenticated,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.authoritative,Authoritative,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.checkdisable,Non-authenticated data,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.conflict,Conflict,Boolean,1.2.0 to 4.2.2
DNS,dns.flags.opcode,Opcode,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.flags.rcode,Reply code,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.flags.recavail,Recursion available,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.recdesired,Recursion desired,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.response,Response,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.tentative,Tentative,Boolean,1.2.0 to 4.2.2
DNS,dns.flags.truncated,Truncated,Boolean,1.0.0 to 4.2.2
DNS,dns.flags.z,Z,Boolean,1.0.0 to 4.2.2
DNS,dns.gpos.altitude,Altitude,Character string,1.12.0 to 4.2.2
DNS,dns.gpos.altitude_length,Altitude length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.gpos.latitude,Latitude,Character string,1.12.0 to 4.2.2
DNS,dns.gpos.latitude_length,Latitude length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.gpos.longitude,Longitude,Character string,1.12.0 to 4.2.2
DNS,dns.gpos.longitude_length,Longitude length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.hinfo.cpu,CPU,Character string,1.10.0 to 4.2.2
DNS,dns.hinfo.cpu_length,CPU Length,Unsigned integer (8 bits),1.10.0 to 4.2.2
DNS,dns.hinfo.os,OS,Character string,1.10.0 to 4.2.2
DNS,dns.hinfo.os_length,OS Length,Unsigned integer (8 bits),1.10.0 to 4.2.2
DNS,dns.hip.hit,Host Identity Tag,Byte sequence,1.4.0 to 4.2.2
DNS,dns.hip.hit.length,HIT length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.hip.hit.pk.algo,HIT length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.hip.pk,HIP Public Key,Byte sequence,1.4.0 to 4.2.2
DNS,dns.hip.pk.length,PK length,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.hip.rendezvous_server,Rendezvous Server,Character string,1.12.0 to 4.2.2
DNS,dns.id,Transaction ID,Unsigned integer (16 bits),1.0.0 to 4.2.2
DNS,dns.idsn.address,ISDN Address,Character string,1.12.0 to 4.2.2
DNS,dns.idsn.length,Length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.idsn.sa.address,Sub Address,Character string,1.12.0 to 4.2.2
DNS,dns.idsn.sa.length,Length,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.ilnp.l32,Locator32,IPv4 address,1.12.0 to 4.2.2
DNS,dns.ilnp.l32.preference,Preference,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.ilnp.l64,Locator64,Byte sequence,1.12.0 to 4.2.2
DNS,dns.ilnp.l64.preference,Preference,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.ilnp.lp,Locator FQDN,Character string,1.12.0 to 4.2.2
DNS,dns.ilnp.lp.preference,Preference,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.ilnp.nid,NodeID,Byte sequence,1.12.0 to 4.2.2
DNS,dns.ilnp.nid.preference,Preference,Unsigned integer (16 bits),1.12.0 to 4.2.2
DNS,dns.ipseckey.gateway_algorithm,Gateway Algorithm,Unsigned integer (8 bits),1.12.0 to 4.2.2
DNS,dns.ipseckey.gateway_dns,DNS Gateway,Character string,1.12.0 to 4.2.2
DNS,dns.ipseckey.gateway_ipv4,IPv4 Gateway,IPv4 address,1.12.0 to 4.2.2
DNS,dns.ipseckey.gateway_ipv6,IPv6 Gateway,IPv6 address,1.12.0 to 4.2.2
DNS,dns.ipseckey.gateway_precedence,Gateway Precedence,Unsigned integer (8 bits),1.12.0 to 4.2.2
